id,full_name,other_names,place_of_birth,place_of_death,year_of_birth,year_of_death,centres_of_activity,rkd_link,image
56,"HALS, Dirck",,UNKNOWN,UNKNOWN,,,,,
57,"HALS, Frans",,Antwerp,Haarlem,1582,1666,Antwerp | Haarlem,https://rkd.nl/explore/artists/35550,
58,"HANNEMAN, Adriaen","HALS, Frans Franchoisz",UNKNOWN,UNKNOWN,,,,,
59,"HEDA, Willem Claesz",,UNKNOWN,UNKNOWN,,,,,
60,"HELST, Bartholomeus van der",,UNKNOWN,UNKNOWN,,,,,
61,"HOLBEIN, Hans, the Younger",,UNKNOWN,UNKNOWN,,,,,
62,"JANSSENS ELINGA, Pieter",,UNKNOWN,UNKNOWN,,,,,
63,"JORDAENS, Jacob",,UNKNOWN,UNKNOWN,,,,,
64,"KALF, Willem",,UNKNOWN,UNKNOWN,,,,,
65,"KETEL, Cornelis",,UNKNOWN,UNKNOWN,,,,,
